age,income,debt,loan_amount,payment_history,num_credit_accounts,credit_utilization,employment_years,num_late_payments,debt_to_income_ratio,creditworthy
34,67617.93,10268.46,22931.77,53.6,8,0.2629,3.8,2,0.1519,1
38,34000.4,6195.88,26123.91,72.9,11,0.1541,4.9,0,0.1822,1
37,78761.28,34061.08,40588.8,67.1,1,0.3247,0.9,11,0.4325,1
62,83514.12,8042.38,7190.15,65.9,14,0.6061,7.8,6,0.0963,1
25,15000.0,14601.74,21457.3,83.2,6,0.0826,2.2,9,0.9734,1
65,27445.51,31032.92,27830.66,78.1,7,0.2664,2.9,3,1.1307,1
59,63196.01,6461.43,14437.6,77.7,9,0.5205,0.8,3,0.1022,1
45,52093.94,28886.52,46472.16,79.4,10,0.5461,1.0,2,0.5545,1
50,59579.97,17149.49,38628.8,83.1,1,0.2647,0.3,2,0.2878,1
65,38673.9,15396.17,29352.0,34.1,13,0.2857,0.0,5,0.3981,1
59,81984.95,26483.75,51913.48,65.4,9,0.2365,9.9,1,0.323,1
35,79444.8,219.27,2516.57,32.8,14,0.5192,0.2,10,0.0028,1
24,61650.77,5599.83,24884.11,72.6,7,0.2885,3.0,6,0.0908,1
54,88181.03,3383.23,30495.05,71.9,9,0.3163,11.9,10,0.0384,1
29,71687.73,4929.59,11281.67,90.8,7,0.5574,3.2,6,0.0688,1
26,38517.69,6333.21,29510.72,93.4,13,0.502,0.8,3,0.1644,1
70,69218.77,3861.63,8401.26,75.6,12,0.5168,12.3,6,0.0558,1
45,36027.93,8943.78,35358.36,63.0,13,0.3292,6.3,1,0.2482,1
53,81961.26,5294.26,40867.52,80.7,8,0.5561,0.1,9,0.0646,1
32,58751.85,8414.13,29085.0,62.5,12,0.565,7.6,8,0.1432,0
26,55378.44,9762.48,1000.0,72.0,6,0.3056,6.1,1,0.1763,1
25,42976.76,4065.75,10498.1,89.8,7,0.1929,9.1,6,0.0946,1
39,90563.53,14553.12,33470.65,62.0,11,0.3536,5.3,6,0.1607,1
22,56136.76,17637.26,25317.98,86.5,2,0.2634,1.1,2,0.3142,1
42,49291.8,23365.78,1000.0,84.2,10,0.4432,5.4,1,0.474,1
37,51196.66,3445.06,43642.46,54.8,1,0.2652,6.3,9,0.0673,1
47,73307.73,14880.02,27049.85,89.5,9,0.4699,8.1,3,0.203,1
50,69136.1,20579.54,12713.88,84.6,7,0.09,2.5,6,0.2977,1
37,70318.32,714.92,39924.33,73.8,7,0.3995,2.9,2,0.0102,1
44,70770.53,8554.52,14836.9,58.3,7,0.4271,3.8,7,0.1209,1
25,113541.19,14260.0,14673.22,56.5,7,0.2376,3.4,0,0.1256,1
36,49839.62,4464.4,30375.29,62.3,6,0.563,2.9,4,0.0896,1
69,47193.93,27577.05,51715.58,81.8,7,0.3959,1.6,6,0.5843,1
70,39655.68,19428.02,49353.81,54.8,8,0.2438,0.8,5,0.4899,1
45,75399.49,2846.25,30395.67,79.9,11,0.2954,5.3,7,0.0377,1
68,88224.31,8951.85,31935.78,49.6,8,0.3146,7.7,2,0.1015,1
46,57151.31,50293.97,36872.48,68.3,9,0.1246,3.6,5,0.88,1
28,38996.09,11968.34,6145.24,74.0,12,0.5185,3.3,9,0.3069,1
64,39387.97,21328.82,34662.23,100.0,14,0.3249,13.7,4,0.5415,1
42,76264.82,37107.82,13988.9,47.2,2,0.0448,5.9,1,0.4866,1
52,78581.35,8893.52,29777.17,98.5,10,0.1306,3.1,10,0.1132,1
53,73578.86,1455.92,21587.99,74.7,4,0.0862,2.6,9,0.0198,1
37,43362.26,3721.28,32518.12,79.4,3,0.0911,2.3,8,0.0858,1
57,65804.03,9950.22,26771.55,74.1,12,0.279,4.2,9,0.1512,1
46,62917.15,8802.02,1000.0,80.0,1,0.2751,4.2,9,0.1399,1
39,65467.21,12168.13,27683.38,69.2,12,0.1394,7.9,8,0.1859,1
36,81785.72,19780.26,34632.29,98.2,11,0.0489,1.2,6,0.2419,1
58,65589.89,22804.87,31688.93,63.8,14,0.4348,8.1,0,0.3477,1
34,76972.84,15993.4,23461.21,92.4,10,0.315,5.7,7,0.2078,1
28,61689.48,42905.33,49632.43,60.4,13,0.1457,2.1,3,0.6955,1
65,67227.98,54226.68,29670.6,70.9,2,0.2189,1.5,9,0.8066,0
38,75782.21,19576.26,31565.1,52.7,13,0.4367,5.6,5,0.2583,1
53,23571.1,29199.8,40667.38,80.2,3,0.0242,3.6,10,1.2388,1
57,52008.22,7727.01,30438.89,98.0,5,0.2861,0.8,7,0.1486,1
63,48240.68,2163.52,11529.73,70.6,2,0.1418,2.9,6,0.0448,1
52,44028.05,12625.11,1000.0,68.5,6,0.1295,6.1,11,0.2868,1
56,53121.44,38854.64,17843.19,51.9,11,0.2899,6.0,5,0.7314,1
63,97373.53,2400.24,36414.18,67.9,4,0.3666,4.2,4,0.0246,1
68,38354.22,6571.04,19703.56,43.3,12,0.1685,5.9,4,0.1713,1
24,84206.96,14972.58,37017.68,55.6,9,0.1668,4.7,10,0.1778,1
